entity_type,entity_id,name_en,name_bn,search_text,latitude,longitude,provider,confidence,status
official_place,PLC0215,Manik Mia,মানিক মিয়া,"Manik Mia, Dhaka, Bangladesh",,,,,pending
official_place,PLC0216,Manik Mia Avenue,মানিক মিয়া এভিনিউ,"Manik Mia Avenue, Dhaka, Bangladesh",,,,,pending
official_place,PLC0217,Manikdi (ECB Mor),মানিকদি (ইসিবি মোড়),"Manikdi (ECB Mor), Dhaka, Bangladesh",,,,,pending
official_place,PLC0218,Manikganj,মানিকগঞ্জ,"Manikganj, Dhaka, Bangladesh",,,,,pending
official_place,PLC0219,Manikmia Avenue,মানিকমিয়া এভিনিউ,"Manikmia Avenue, Dhaka, Bangladesh",,,,,pending
official_place,PLC0220,Maniknagar,মানিকনগর,"Maniknagar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0221,Mast Plaza,মাস্ট প্লাজা,"Mast Plaza, Dhaka, Bangladesh",,,,,pending
official_place,PLC0222,Matsya Bhaban,মৎসভবন,"Matsya Bhaban, Dhaka, Bangladesh",,,,,pending
official_place,PLC0223,Mawa Ferryghat,মাওয়া ফেরীঘাট,"Mawa Ferryghat, Dhaka, Bangladesh",,,,,pending
official_place,PLC0224,Mawa Ghat,মাওয়াঘাট,"Mawa Ghat, Dhaka, Bangladesh",,,,,pending
official_place,PLC0225,Mayor Mohammad Hanif Flyover,মেয়র মোহাম্মদ হানিফ ফ্লাইওভার,"Mayor Mohammad Hanif Flyover, Dhaka, Bangladesh",,,,,pending
official_place,PLC0226,Mazar Road,মাজার রোড,"Mazar Road, Dhaka, Bangladesh",,,,,pending
official_place,PLC0227,Md. Zillur Rahman Flyover,মোঃ জিল্লুর রহমান ফ্লাইওভার,"Md. Zillur Rahman Flyover, Dhaka, Bangladesh",,,,,pending
official_place,PLC0228,Meghna Ghat,মেঘনা ঘাট,"Meghna Ghat, Dhaka, Bangladesh",,,,,pending
official_place,PLC0229,Meghnaghat,মেঘনাঘাট,"Meghnaghat, Dhaka, Bangladesh",,,,,pending
official_place,PLC0230,Meradia (New Road),মেরাদিয়া (নতুন রাস্তা),"Meradia (New Road), Dhaka, Bangladesh",,,,,pending
